n_samples,scientific_name,dataset,median_length_pct_err,mean_length_pct_err,n
all,Metrius contractus,biorepo,1.2488716,1.3847668,47
all,Calosoma affine,biorepo,1.2444406,1.5010694,32
all,Helluomorphoides texanus,biorepo,1.2226707,1.2661142,9
all,Cicindela abdominalis,biorepo,1.2151797,1.2151797,1
all,Harpalus opacipennis,biorepo,1.2144396,1.6417466,12
all,Amara carinata,biorepo,1.1744485,1.1744485,2
all,Dicaelus politus,biorepo,1.1527094,1.6484374,9
all,Pterostichus (Abacidus) sp.,biorepo,1.1200194,1.4900476,16
all,Blethisa catenaria,biorepo,1.1043657,1.1043657,1
all,Omus californicus,biorepo,1.0876726,1.5099223,14
all,Stereocerus rubripes,biorepo,1.0594456,0.9274561,8
all,Carabus nemoralis nemoralis,biorepo,1.0534245,1.2777982,16
all,Platynus decentis,biorepo,0.9432975,0.9432975,2
all,Carabus truncaticollis,biorepo,0.9293838,0.8286551,13
all,Elaphrus lapponicus,biorepo,0.9231999,0.9231999,2
all,Carabus goryi,biorepo,0.8831812,0.8415127,5
